Título,Año,Directores,Metascore
Parasite,2019,Bong Joon Ho,97
Sinners,2025,Ryan Coogler,84
La La Land,2016,Damien Chazelle,94
Whiplash,2014,Damien Chazelle,89
The Truman Show,1998,Peter Weir,90
Pulp Fiction,1994,Quentin Tarantino,95
Everything Everywhere All at Once,2022,"Daniel Scheinert, Daniel Kwan",81
Oppenheimer,2023,Christopher Nolan,90
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,89
Get Out,2017,Jordan Peele,85
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey",87
The Dark Knight,2008,Christopher Nolan,85
Knives Out,2019,Rian Johnson,82
Spirited Away,2001,Hayao Miyazaki,96
Spider-Man: Across the Spider-Verse,2023,"Kemp Powers, Justin K. Thompson",86
Forrest Gump,1994,Robert Zemeckis,82
The Grand Budapest Hotel,2014,Wes Anderson,88
Marty Supreme,2025,Josh Safdie,89
Challengers,2024,Luca Guadagnino,82
The Silence of the Lambs,1991,Jonathan Demme,86
Weapons,2025,Zach Cregger,81
Lady Bird,2017,Greta Gerwig,93
Call Me by Your Name,2017,Luca Guadagnino,94
One Battle After Another,2025,Paul Thomas Anderson,95
Little Women,2019,Greta Gerwig,91
Poor Things,2023,Yorgos Lanthimos,88
The Godfather,1972,Francis Ford Coppola,100
Ratatouille,2007,Brad Bird,96
Fantastic Mr. Fox,2009,Wes Anderson,83
Once Upon a Time... in Hollywood,2019,Quentin Tarantino,84
Anora,2024,Sean Baker,91
Django Unchained,2012,Quentin Tarantino,81
The Shawshank Redemption,1994,Frank Darabont,82
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,92
Baby Driver,2017,Edgar Wright,86
Taxi Driver,1976,Martin Scorsese,94
Donnie Darko,2001,Richard Kelly,88
Hereditary,2018,Ari Aster,87
Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,82
The Social Network,2010,David Fincher,95
Glass Onion,2022,Rian Johnson,81
Coco,2017,Lee Unkrich,81
Inside Out,2015,Pete Docter,94
Her,2013,Spike Jonze,91
Back to the Future,1985,Robert Zemeckis,88
Howl's Moving Castle,2004,Hayao Miyazaki,82
Arrival,2016,Denis Villeneuve,81
Pride & Prejudice,2005,Joe Wright,82
Avatar,2009,James Cameron,83
GoodFellas,1990,Martin Scorsese,92
Up,2009,Pete Docter,88
Past Lives,2023,Celine Song,94
Aftersun,2022,Charlotte Wells,95
Star Wars,1977,George Lucas,90
Blade Runner 2049,2017,Denis Villeneuve,81
No Country for Old Men,2007,"Joel Coen, Ethan Coen",92
WALL·E,2008,Andrew Stanton,95
Black Panther,2018,Ryan Coogler,88
Shrek,2001,"Andrew Adamson, Vicky Jenson",84
Memento,2000,Christopher Nolan,83
Soul,2020,Pete Docter,83
Us,2019,Jordan Peele,81
Hamnet,2025,Chloé Zhao,84
The Lord of the Rings: The Return of the King,2003,Peter Jackson,94
The Holdovers,2023,Alexander Payne,82
Mad Max: Fury Road,2015,George Miller,90
2001: A Space Odyssey,1968,Stanley Kubrick,84
Harry Potter and the Goblet of Fire,2005,Mike Newell,81
My Neighbor Totoro,1988,Hayao Miyazaki,87
Brokeback Mountain,2005,Ang Lee,87
Alien,1979,Ridley Scott,89
The Lord of the Rings: The Two Towers,2002,Peter Jackson,87
The Lighthouse,2019,Robert Eggers,83
The Empire Strikes Back,1980,Irvin Kershner,82
Anatomy of a Fall,2023,Justine Triet,86
Toy Story,1995,John Lasseter,96
Lost in Translation,2003,Sofia Coppola,91
The Incredibles,2004,Brad Bird,90
Mulholland Drive,2001,David Lynch,87
12 Angry Men,1957,Sidney Lumet,97
Moonlight,2016,Barry Jenkins,99
Spider-Man 2,2004,Sam Raimi,83
Finding Nemo,2003,Andrew Stanton,90
Uncut Gems,2019,"Josh Safdie, Benny Safdie",93
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,85
Schindler's List,1993,Steven Spielberg,95
Portrait of a Lady on Fire,2019,Céline Sciamma,95
The Nightmare Before Christmas,1993,Henry Selick,82
Dunkirk,2017,Christopher Nolan,94
Kill Bill: Vol. 2,2004,Quentin Tarantino,83
Jaws,1975,Steven Spielberg,87
There Will Be Blood,2007,Paul Thomas Anderson,93
Psycho,1960,Alfred Hitchcock,97
Corpse Bride,2005,"Mike Johnson, Tim Burton",83
Juno,2007,Jason Reitman,81
The Lion King,1994,"Roger Allers, Rob Minkoff",88
Reservoir Dogs,1992,Quentin Tarantino,81
A Quiet Place,2018,John Krasinski,82
Blade Runner,1982,Ridley Scott,84
The Departed,2006,Martin Scorsese,85
The Godfather Part II,1974,Francis Ford Coppola,90
The Witch,2015,Robert Eggers,84
The Wild Robot,2024,Chris Sanders,85
Fargo,1996,Joel Coen,88
Killers of the Flower Moon,2023,Martin Scorsese,89
The Boy and the Heron,2023,Hayao Miyazaki,91
In the Mood for Love,2000,Wong Kar-Wai,87
Grave of the Fireflies,1988,Isao Takahata,94
The Pianist,2002,Roman Polanski,85
The Banshees of Inisherin,2022,Martin McDonagh,87
Trainspotting,1996,Danny Boyle,83
Your Name.,2016,Makoto Shinkai,81
Flow,2024,Gints Zilbalodis,87
Saving Private Ryan,1998,Steven Spielberg,91
